model_id,old_k,new_k,old_N,new_N,old_effect,new_effect,old_ci_low,new_ci_low,old_ci_high,new_ci_high,changed_fields,status
persistent_nausea24_TEAS_sham,1,1,1655,1655,0.4290896527897737,0.4290896527897737,0.24913154587609151,0.24913154587609151,0.7390390064164003,0.7390390064164003,,UNCHANGED
pethidine24_TEAS_active_rescue,1,1,31,31,-13.09,-13.09,-44.186526498617916,-44.186526498617916,18.006526498617916,18.006526498617916,,UNCHANGED
pethidine24_TEAS_usual_rescue,1,1,31,31,-12.459999999999997,-12.459999999999997,-37.69403682234021,-37.69403682234021,12.774036822340214,12.774036822340214,,UNCHANGED
ponv24_TEAS_active,1,1,85,85,0.3071428571428571,0.3071428571428571,0.09084786516306913,0.09084786516306913,1.038403428903321,1.038403428903321,,UNCHANGED
ponv24_TEAS_broad_sham_sensitivity,11,11,3532,3532,0.6270298572093899,0.6270298572093899,0.5064876844145406,0.5064876844145406,0.7762606158657083,0.7762606158657083,,UNCHANGED
ponv24_TEAS_sham,10,10,3447,3447,0.6402044411346373,0.6402044411346373,0.5171262127862204,0.5171262127862204,0.7925758089891102,0.7925758089891102,,UNCHANGED
ponv24_TEAS_sham_point_window_sensitivity,11,11,3541,3541,0.6692305429509418,0.6692305429509418,0.5170403453444984,0.5170403453444984,0.8662177403583499,0.8662177403583499,,UNCHANGED
ponv48_TEAS_sham,1,1,62,62,0.5416666666666667,0.5416666666666667,0.34339658178086596,0.34339658178086596,0.8544137983441226,0.8544137983441226,,UNCHANGED
tramadol24_TEAS_active_PCA,1,1,31,31,-29.28,-29.28,-84.14243307535592,-84.14243307535592,25.582433075355922,25.582433075355922,,UNCHANGED
tramadol24_TEAS_usual_PCA,1,1,31,31,-129.41,-129.41,-204.59020316412594,-204.59020316412594,-54.229796835874055,-54.229796835874055,,UNCHANGED
vomiting24_EA_usual,2,2,237,237,0.5294414803502702,0.5294414803502702,0.016793566226996185,0.016793566226996185,16.691408919737437,16.691408919737437,,UNCHANGED
vomiting24_TEAS_sham,4,4,2390,2390,0.6800789383796912,0.6800789383796912,0.344589663949011,0.344589663949011,1.3421974331072366,1.3421974331072366,,UNCHANGED
vomiting24_TEAS_usual,1,1,105,105,0.4827935222672065,0.4827935222672065,0.24101385447495863,0.24101385447495863,0.9671211045147353,0.9671211045147353,,UNCHANGED
vomiting48_TEAS_sham,1,1,277,277,0.3357487922705314,0.3357487922705314,0.16396976112775094,0.16396976112775094,0.6874880510638373,0.6874880510638373,,UNCHANGED
vomiting6to24_EA_usual,1,1,400,400,0.33779264214046834,0.33779264214046834,0.1956301080978483,0.1956301080978483,0.5832633340220166,0.5832633340220166,,UNCHANGED
