model_id,phase,role,measure,model_k,model_estimate,model_ci_low,model_ci_high,model_p_value,model_tau2,model_i2,study,study_outcome,study_timepoint,modality,comparator,n_i,n_c,study_n,study_effect,rob2_overall,grade,note
v34_primary_24h_mme_TEAS_Sham,REPRODUCED,primary,MD,4,-13.9953,-34.1808,6.1903,0.11448,156.8823,98.59,He 2026 (hepatectomy/JIS),Total postoperative opioid consumption in morphine equivalents,0-24 h,TEAS,Sham,80,79,159.0,-0.6,Some concerns,,
v34_primary_24h_mme_TEAS_Sham,REPRODUCED,primary,MD,4,-13.9953,-34.1808,6.1903,0.11448,156.8823,98.59,Szmit 2021,Total IV PCA morphine dose,0–24 h postoperative,TEAS,Sham,24,24,48.0,-7.7,Some concerns,,
v34_primary_24h_mme_EA_Usual_care,REPRODUCED,primary,MD,3,-3.9358,-19.7732,11.9016,0.39689,28.4713,77.15,Seevaunnamtum 2016,Cumulative IV PCA morphine requirement,First 24 h postoperatively,EA,Usual care,32,32,64.0,-12.56,Some concerns,,
v34_primary_24h_mme_EA_Usual_care,REPRODUCED,primary,MD,3,-3.9358,-19.7732,11.9016,0.39689,28.4713,77.15,Yang 2024,Morphine use via IV PCA,First 24 h / POD1,EA,Usual care,90,90,180.0,-0.3,Some concerns,,
v34_primary_24h_mme_EA_Usual_care,REPRODUCED,primary,MD,3,-3.9358,-19.7732,11.9016,0.39689,28.4713,77.15,El-Rakshy 2009,Total IV morphine analgesia,First 24 h,EA,Usual care,42,53,95.0,-1.6,High,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,Seevaunnamtum 2016,Cumulative IV PCA morphine requirement,First 24 h postoperatively,EA,Usual care,32,32,64.0,-12.56,Some concerns,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,Chen 1998,Cumulative IV PCA hydromorphone,First 24 h postoperatively,TEAS,Sham,25,25,50.0,-21.0,Some concerns,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,Chen 2020,Cumulative sufentanil,24 h postoperatively,TEAS,Sham,40,40,80.0,-28.19,Some concerns,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,Yang 2024,Morphine use via IV PCA,First 24 h / POD1,EA,Usual care,90,90,180.0,-0.3,Some concerns,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,He 2026 (hepatectomy/JIS),Total postoperative opioid consumption in morphine equivalents,0-24 h,TEAS,Sham,80,79,159.0,-0.6,Some concerns,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,El-Rakshy 2009,Total IV morphine analgesia,First 24 h,EA,Usual care,42,53,95.0,-1.6,High,,
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,supporting,MD,7,-9.907,-20.0794,0.2654,0.05454,113.9105,98.57,Szmit 2021,Total IV PCA morphine dose,0–24 h postoperative,TEAS,Sham,24,24,48.0,-7.7,Some concerns,,
