family,outcome,window,unit,statistic,modality,comparator,rows,include_rows,usable_contrasts,independent_studies,verdict,studies
analgesic_proxies_and_nonopioid_rescue,Cumulative multimodal PCIA solution consumed,36 h,mL multimodal PCIA solution,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
analgesic_proxies_and_nonopioid_rescue,Cumulative multimodal PCIA solution consumed,4 h,mL multimodal PCIA solution,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
analgesic_proxies_and_nonopioid_rescue,Cumulative multimodal PCIA solution consumed,8 h,mL multimodal PCIA solution,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
analgesic_proxies_and_nonopioid_rescue,Cumulative multimodal PCIA solution volume,0-24 h,mL multimodal PCIA solution,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Cumulative number of additional rescue-analgesia doses,0-72 h,rescue doses,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wang 2023
analgesic_proxies_and_nonopioid_rescue,Cumulative number of rescue analgesia administrations,0-24 h postoperative,administrations,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Cumulative number of rescue sufentanil PCIA boluses,0-24 h,boluses,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Demand for rescue parecoxib,0–24 h,participants,Events/total,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
analgesic_proxies_and_nonopioid_rescue,Effective PCIA button presses,Postoperative; exact pump duration not stated,effective PCIA presses,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Emergency rescue analgesia events,Postoperative; exact window not stated,events,Other (describe),TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Nominal butorphanol PCA bolus component derived from reported pump presses,0-24 h,mg butorphanol,Derived mean/SD (linear from press count),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
analgesic_proxies_and_nonopioid_rescue,PCA attempts,24 h,attempts,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,He 2026 (hepatectomy/JIS)
analgesic_proxies_and_nonopioid_rescue,PCA attempts,24 h,attempts,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,PCA attempts,48 h after surgery,PCA attempts,Median/range,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,PCA attempts,72 h after surgery,PCA attempts,Median/range,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,PCA pump compressions,0-24 h,presses,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2021
analgesic_proxies_and_nonopioid_rescue,PCA pump press number,0-24 h,pump presses,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
analgesic_proxies_and_nonopioid_rescue,PCIA compression count,48 h,presses,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
analgesic_proxies_and_nonopioid_rescue,PCIA pump press count,48-h / 2-day PCIA period,presses,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Xing 2022
analgesic_proxies_and_nonopioid_rescue,PCIA solution consumption,48 h,mL of weight-based sufentanil solution,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
analgesic_proxies_and_nonopioid_rescue,Participants given rescue medication,Postoperative; exact window not stated,participants,Events/total,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Participants requiring postoperative analgesics,0–48 h after surgery,participants,Events/total,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
analgesic_proxies_and_nonopioid_rescue,Participants using analgesic drugs,Within 24 h after operation,participants,Events/total,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Postoperative analgesia requirement (metric undefined),Early postoperative period - exact window not stated,UNRESOLVED - source does not define the metric,Reported as value (dispersion); statistic type ambiguous,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
