model_id,study,trial_id,result_id,factor,n_i,mean_i,sd_i,n_c,mean_c,sd_c,yi,vi
E2_TEAS_sham_LOO_Lee_2011,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_Zhang_2025,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Zhang_2025,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_Zhang_2025,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_Zhang_2025,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Zhang_2025,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_Zhang_2025,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_Gu_2019,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Gu_2019,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_Gu_2019,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_Gu_2019,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Gu_2019,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_Gu_2019,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_opioid24_TEAS_usual,Szmit 2021,Szmit_2021,V33-OD-0351,1.0,24.0,7.5,3.8,23.0,15.5,6.1,-8.0,2.219492753623188
E2_opioid24_EA_sham,Lin 2002,Lin_2002,V33-OD-0006+V33-OD-0007,1.0,50.0,18.4,13.1800096001947,25.0,30.2,14.4,-11.8,11.76865306122449
E2_opioid24_EA_usual,El-Rakshy 2009,El_Rakshy_2009,V33-OD-0252,1.0,42.0,35.3,18.0,53.0,36.9,18.0,-1.6000000000000014,13.827493261455526
E2_opioid24_EA_usual,Seevaunnamtum 2016,Seevaunnamtum_2016,V33-OD-0003,1.0,32.0,21.38,14.38,32.0,33.94,20.24,-12.559999999999999,19.2638125
E2_opioid24_EA_usual,Yang 2024,Yang_2024,V33-OD-0052,1.0,90.0,43.7,4.7,90.0,44.0,4.9,-0.29999999999999716,0.5122222222222224
