model_id,field,python,metafor,absolute_difference,tolerance,pass_check
persistent_nausea24_TEAS_sham,effect,-0.8460894010256353,-0.846089401025636,6.661338147750939e-16,1.0846089401025636e-05,True
persistent_nausea24_TEAS_sham,se,0.277395313683694,0.277395313683694,0.0,1.0277395313683694e-05,True
persistent_nausea24_TEAS_sham,ci_low,-1.3897742253258665,-1.38977422532587,3.552713678800501e-15,1.1389774225325868e-05,True
persistent_nausea24_TEAS_sham,ci_high,-0.3024045767254042,-0.302404576725405,7.771561172376096e-16,1.0302404576725405e-05,True
persistent_nausea24_TEAS_sham,p,0.002287488315088618,0.00228748831508861,7.806255641895632e-18,1.0002287488315089e-05,True
persistent_nausea24_TEAS_sham,tau2,0.0,0,0.0,1e-05,True
nausea48_TEAS_sham,k,1,1,0.0,1.1000000000000001e-05,True
nausea48_TEAS_sham,N,277,277,0.0,0.00028700000000000004,True
nausea48_TEAS_sham,effect,-0.7850178352306892,-0.78501783523069,7.771561172376096e-16,1.078501783523069e-05,True
nausea48_TEAS_sham,se,0.2146950623071192,0.214695062307119,2.220446049250313e-16,1.021469506230712e-05,True
nausea48_TEAS_sham,ci_low,-1.2058124250112257,-1.20581242501123,4.440892098500626e-15,1.1205812425011226e-05,True
nausea48_TEAS_sham,ci_high,-0.3642232454501527,-0.364223245450153,2.7755575615628914e-16,1.0364223245450154e-05,True
nausea48_TEAS_sham,p,0.00025575049639083556,0.000255750496390835,5.421010862427522e-19,1.0000255750496392e-05,True
nausea48_TEAS_sham,tau2,0.0,0,0.0,1e-05,True
vomiting48_TEAS_sham,k,1,1,0.0,1.1000000000000001e-05,True
vomiting48_TEAS_sham,N,277,277,0.0,0.00028700000000000004,True
vomiting48_TEAS_sham,effect,-1.0913920406946227,-1.09139204069462,2.6645352591003757e-15,1.1091392040694624e-05,True
vomiting48_TEAS_sham,se,0.3656603980912308,0.365660398091231,2.220446049250313e-16,1.0365660398091232e-05,True
vomiting48_TEAS_sham,ci_low,-1.8080732515260138,-1.80807325152601,3.774758283725532e-15,1.1808073251526014e-05,True
vomiting48_TEAS_sham,ci_high,-0.37471082986323156,-0.374710829863232,4.440892098500626e-16,1.0374710829863232e-05,True
vomiting48_TEAS_sham,p,0.0028384273648325103,0.00283842736483251,4.336808689942018e-19,1.0002838427364833e-05,True
vomiting48_TEAS_sham,tau2,0.0,0,0.0,1e-05,True
ponv48_TEAS_usual,k,1,1,0.0,1.1000000000000001e-05,True
ponv48_TEAS_usual,N,62,62,0.0,7.2e-05,True
ponv48_TEAS_usual,effect,-0.6131044728864088,-0.613104472886409,2.220446049250313e-16,1.061310447288641e-05,True
ponv48_TEAS_usual,se,0.23253734013591348,0.232537340135913,4.718447854656915e-16,1.0232537340135914e-05,True
ponv48_TEAS_usual,ci_low,-1.0688692846135397,-1.06886928461354,2.220446049250313e-16,1.106886928461354e-05,True
ponv48_TEAS_usual,ci_high,-0.15733966115927794,-0.157339661159278,5.551115123125783e-17,1.0157339661159279e-05,True
ponv48_TEAS_usual,p,0.008374520549832159,0.00837452054983216,1.734723475976807e-18,1.0008374520549833e-05,True
ponv48_TEAS_usual,tau2,0.0,0,0.0,1e-05,True
nausea6to24_EA_usual,k,1,1,0.0,1.1000000000000001e-05,True
nausea6to24_EA_usual,N,400,400,0.0,0.00041,True
nausea6to24_EA_usual,effect,-0.6922804684398198,-0.69228046843982,2.220446049250313e-16,1.0692280468439821e-05,True
nausea6to24_EA_usual,se,0.22088812854627557,0.220888128546276,4.440892098500626e-16,1.0220888128546277e-05,True
nausea6to24_EA_usual,ci_low,-1.1252132450029737,-1.12521324500297,3.774758283725532e-15,1.1125213245002974e-05,True
nausea6to24_EA_usual,ci_high,-0.2593476918766659,-0.259347691876666,1.1102230246251565e-16,1.0259347691876666e-05,True
nausea6to24_EA_usual,p,0.0017239543789546652,0.00172395437895467,4.7704895589362195e-18,1.0001723954378955e-05,True
nausea6to24_EA_usual,tau2,0.0,0,0.0,1e-05,True
vomiting6to24_EA_usual,k,1,1,0.0,1.1000000000000001e-05,True
vomiting6to24_EA_usual,N,400,400,0.0,0.00041,True
vomiting6to24_EA_usual,effect,-1.0853230565494267,-1.08532305654943,3.3306690738754696e-15,1.1085323056549427e-05,True
vomiting6to24_EA_usual,se,0.27868193196676716,0.278681931966767,1.6653345369377348e-16,1.0278681931966769e-05,True
vomiting6to24_EA_usual,ci_low,-1.6315296063463318,-1.63152960634633,1.7763568394002505e-15,1.1631529606346333e-05,True
vomiting6to24_EA_usual,ci_high,-0.5391165067525215,-0.539116506752521,5.551115123125783e-16,1.0539116506752522e-05,True
vomiting6to24_EA_usual,p,9.840692136805247e-05,9.84069213680528e-05,3.2526065174565133e-19,1.0000098406921369e-05,True
vomiting6to24_EA_usual,tau2,0.0,0,0.0,1e-05,True
pain24_rest_TEAS_sham,k,2,2,0.0,1.2e-05,True
pain24_rest_TEAS_sham,N,160,160,0.0,0.00016999999999999999,True
pain24_rest_TEAS_sham,effect,-0.5045943941832379,-0.504594393258427,9.24810894531447e-10,1.050459439418324e-05,True
