"model_id","k","N","effect","se","ci_low","ci_high","p","tau2","I2","pi_low","pi_high","max_effect_input_difference","max_variance_input_difference"
"pain6to24_movement_EA_usual",1,400,-0.29314381270903,0.143449062316206,-0.574298808464837,-0.0119888169532239,0.0409990698667001,0,NA,NA,NA,2.22044604925031e-16,3.46944695195361e-18
"flatus_TEAS_sham",7,1447,-5.55287895307152,1.86766673869924,-10.122894829984,-0.982863076159062,0.0248555159646768,18.6182014093858,89.7030035810534,-17.0576278560898,5.95186994994676,1.77635683940025e-15,8.88178419700125e-16
"flatus_TEAS_usual",1,58,-4.26,1.72686381069546,-7.6445908751687,-0.875409124831297,0.0136288486719935,0,NA,NA,NA,0,0
"flatus_EA_sham",1,110,-7.2,4.59944660702884,-16.2147496985915,1.81474969859147,0.117487809477763,0,NA,NA,NA,7.105427357601e-15,7.105427357601e-15
"flatus_EA_usual",4,725,-2.88763676284237,0.785310028453595,-5.38684376139676,-0.388429764287987,0.0348282669884427,1.24823815645803,55.9904327234958,NA,NA,0,0
"bowelsounds_TEAS_sham",3,812,-7.19078205022251,1.02896789020824,-11.6180735518515,-2.76349054859349,0.019868099121773,1.66351941175875,51.562941482445,NA,NA,0,2.22044604925031e-16
"defecation_TEAS_sham",4,1182,-7.76920185452616,3.0477488451788,-17.4684989062981,1.93009519724579,0.0840044102368988,18.9627864018583,52.279665512803,NA,NA,1.77635683940025e-15,0
"defecation_EA_sham",1,110,-21.6,7.90586663641168,-37.0952138739437,-6.10478612605629,0.00629228133081531,0,NA,NA,NA,3.5527136788005e-15,0
"defecation_EA_usual",4,435,-10.1058918074367,7.15939411090899,-32.890279143769,12.6784955288956,0.252919620289349,149.445110559343,97.5975917352218,NA,NA,0,0
"opioid48_EA_usual_PCA",1,81,-6,2.36127291012656,-10.6280098615181,-1.37199013848186,0.0110535178401588,0,NA,NA,NA,0,0
"opioid72_EA_usual_PCA",1,180,-0.5,1.82650242570633,-4.07987897205945,3.07987897205945,0.784278870711254,0,NA,NA,NA,0,0
"opioid72_EA_sham_PCA",1,25,-8.4,7.10004062826946,-22.3158239201793,5.51582392017927,0.236772758766505,0,NA,NA,NA,0,0
"opioid48_TEAS_sham_uncertain_suf0.25",2,239,-3.21943826437302,2.25279251473003,-31.8438811846547,25.4050046559087,0.388692147257695,9.61676671083862,94.664600333897,NA,NA,0,0
"opioid48_TEAS_sham_uncertain_suf0.5",2,239,-5.85015834673842,4.9574945638021,-68.841099252881,57.1407825594042,0.447537139339691,48.2427187420887,98.146842700704,NA,NA,0,1.11022302462516e-16
"opioid48_TEAS_sham_uncertain_suf1",2,239,-11.1903100884183,10.3647308897582,-142.88670280904,120.506082632204,0.475628751274384,212.480026867089,98.8893458551061,NA,NA,0,4.44089209850063e-16
"intraop_remifentanil_TEAS_sham",7,1130,-75.0764048600623,31.8271035479945,-152.954521719268,2.80171199914351,0.0563700484300515,3680.76374591371,68.2271033038708,-242.716267409173,92.5634576890485,0,0
"intraop_remifentanil_TEAS_usual",1,58,-232.8,72.3351350217907,-374.574259459552,-91.0257405404485,0.001289290308422,0,NA,NA,NA,2.8421709430404e-14,0
"intraop_remifentanil_EA_usual",1,400,-16.7558528428094,29.3341020592538,-74.2496363977691,40.7379307121502,0.567859139476556,0,NA,NA,NA,0,1.13686837721616e-13
"intraop_remifentanil_EA_sham",1,70,-38.3000000000001,138.616933618207,-309.984197539064,233.384197539064,0.782316873373327,0,NA,NA,NA,0,0
"tramadol24_TEAS_usual_PCA",1,31,-129.41,38.3579513486665,-204.590203164126,-54.2297968358741,0.00074152650328698,0,NA,NA,NA,0,0
"tramadol24_TEAS_active_PCA",1,31,-29.28,27.9915516346748,-84.1424330753559,25.5824330753559,0.295547227200932,0,NA,NA,NA,0,0
"pethidine24_TEAS_usual_rescue",1,31,-12.46,12.8747451592902,-37.6940368223402,12.7740368223402,0.333151184139979,0,NA,NA,NA,1.77635683940025e-15,0
"pethidine24_TEAS_active_rescue",1,31,-13.09,15.865866283209,-44.1865264986179,18.0065264986179,0.40934796279976,0,NA,NA,NA,0,0
"flatus_TEAS_sham_SMD_sensitivity",7,1447,-0.579880820222934,0.251344739761361,-1.19489924266796,0.0351376022220882,0.0605076729662305,0.385466741064605,93.7993426194948,-2.21883859690474,1.05907695645887,5.81756864903582e-14,1.38777878078145e-15
"flatus_TEAS_usual_SMD_sensitivity",1,58,-0.639117756855348,0.269233770796512,-1.16680625103842,-0.111429262672273,0.0176042013969515,0,NA,NA,NA,1.35447209004269e-14,1.52655665885959e-16
"flatus_EA_sham_SMD_sensitivity",1,110,-0.296432547955515,0.19173694403208,-0.672230052764164,0.0793649568531329,0.122095458167687,0,NA,NA,NA,3.33066907387547e-16,0
"flatus_EA_usual_SMD_sensitivity",4,725,-0.487118743855088,0.0809921988760222,-0.744872067924888,-0.229365419785288,0.00921039446788756,0,0,NA,NA,2.62012633811537e-14,7.63278329429795e-17
